1988429,"Net shore-drift in Washington State. Vol. 5, Northern bays and straits region.",,,1991,"Shorelands and Environmental Assistance Program, Washington Dept. of Ecology,",arbk,caref,cen,1,A
2935880,If I built a house / Chris Van Dusen.,"Van Dusen, Chris","0803737513, 9780803737518",2012,"Dial Books for Young Readers,",jcbk,ncpic,cap,1,A
3304258,Mechanical failure / Joe Zieja.,"Zieja, Joseph","1481459260, 1481459279, 9781481459266, 9781481459273",2016,"Saga Press,",acbk,nanew,wts,1,A
2875471,I said no! : a kid-to-kid guide to keeping private parts private / by Zack and Kimberly King ; illustrated by Sue Ramá ; prologue by Chip St. Clair ; preface by Sandra L. Caron.,"King, Zack","1878076493, 9781878076496",2012,"Boulden Publishing,",jcbk,ncenf,net,1,A
2603064,The Mercy Watson collection. Volume 3 / Kate DiCamillo.,"DiCamillo, Kate","0739360507, 9780739360507",2009,"Listening Library,",jccd,ncbocd,wts,1,A
3092470,Gill Landry.,"Landry, Gill",,2015,"ATO Records,",accd,cacd,cen,1,A
2636767,Managing off-site staff for small business / Lin Grensing-Pophal.,"Grensing-Pophal, Lin, 1959-","155180865X, 9781551808659",2010,"Self-Counsel Press,",acbk,canf,cen,2,A
1939993,"Encyclopedia of historians and historical writing / editor, Kelly Boyd.",,1884964338,1999,"Fitzroy Dearborn,",arbk,caref,cen,2,A
3083198,The Regal years (1997-2004) / the Beta Band.,Beta Band,,2013,"Regal,",accd,naover,bal,1,A
2496963,"Dinosaurios con plumas / por ""Dino"" Don Lessem ; ilustraciones por John Bindon.","Lessem, Don","0822562421, 9780822562429",2007,"Ediciones Lerner,",jcbk,ncln,spa,1,A
3086932,"The great wide open : new outdoor and landscape photography / edited by Jeffrey Bowman, Sven Ehmann, and Robert Klanten ; preface and stories by Jeffrey Bowman.",,"3899555554, 9783899555554",2015,"Gestalten Verlag,",acbk,naover,lcy,1,A
2507531,No choice but seduction / Johanna Lindsey.,"Lindsey, Johanna","1410408019, 9781410408013",2008,"Thorndike Press,",acbk,cs1malf,cen,1,A
2758752,The Wizard of Dark Street : an Oona Crate mystery / Shawn Thomas Odyssey.,"Odyssey, Shawn Thomas","1606841432, 9781606841433",2011,"Egmont USA,",jcbk,ncfic,cap,1,A
3146010,Pushout : the criminalization of Black girls in schools / Monique W. Morris.,"Morris, Monique W., 1972-","1620970945, 9781620970942",2015,"The New Press,",acbk,nanf,bal,1,A
3331776,Summer / by Harriet Brundle.,"Brundle, Harriet","1499484038, 1499484151, 9781499484038, 9781499484151",2018,"Windmill Books,",jcbk,ccnf,cen,3,A
3211833,Good wish gone bad / Shana Muldoon Zappa and Ahmet Zappa ; with Alexa Young.,"Zappa, Shana Muldoon","1484753518, 9781484753514",2016,"Disney Press,",jcbk,ncfic,idc,1,A
1649303,The advanced pilot's flight manual : including FAA written test questions (airplanes) plus answers and explanations and practical (flight) test / William K. Kershner.,"Kershner, William K.",813813034,1994,"Iowa State University Press,",acbk,canf,cen,1,A
3108966,The truth about Stacey / Ann M. Martin ; a graphic novel by Raina Telgemeier ; with color by Braden Lamb.,"Telgemeier, Raina","0545813883, 0545813891, 9780545813884, 9780545813891",2015,"Graphix, an imprint of Scholastic,",jcbk,nccomic,cap,3,A
2990939,Raven's Hollow / Jenna Ryan.,"Ryan, Jenna","0263244474, 9780263244472",2014,"Mills & Boon,",acbk,calpfic,cen,1,A
3165713,Angels burning / Tawni O'Dell.,"O'Dell, Tawni","1410487954, 9781410487957",2016,"Thorndike Press Large Print,",acbk,nalpfic,lcy,1,A
2585450,Singing sensation / Geronimo Stilton ; [illustrations by Larry Keys Chiavini ... and others].,"Stilton, Geronimo","0545103681, 9780545103688",2009,"Scholastic Paperbacks,",jcbk,ncser,fre,1,A
3154617,A theater of envy : William Shakespeare / René Girard.,"Girard, René, 1923-2015","1587318601, 9781587318603",2004,"St. Augustine's Press,",acbk,canf,cen,2,A
2750654,The lost majority : why the future of government is up for grabs-- and who will take it / Sean Trende.,"Trende, Sean","0230116469, 9780230116467",2012,"Palgrave Macmillan,",acbk,canf,cen,1,A
2589509,The dark side of love / Rafik Schami ; translated from the German by Anthea Bell.,"Schami, Rafik, 1946-","1566567807, 9781566567800",2009,"Interlink Books,",acbk,cafic,cen,1,A
1836651,Presidential libraries holdings relating to prisoners of war and missing in action / compiled by Dale C. Mayer.,United States. National Archives and Records Administration,,1998,"National Archives and Records Administratin,",acbk,canf,cen,1,A
2673779,"A mother's courage : talking back to autism / Frontier Filmworks in association with Klikk Productions presents ; a documentary by Fridrik Thor Fridriksson ; executive producer, Kristin Olafsdottir ; producer, Margret Dagmar Ericsdottir.",,,2010,"First Run Features,",acdvd,cadvdnf,cen,1,A
3111872,The watercolor course you've always wanted : guided lessons for beginners and experienced artists / Leslie Frontz.,"Frontz, Leslie","0770435297, 9780770435295",2015,"Watson-Guptill Publications,",acbk,nanf,col,1,A
3286447,Blitzcat / Robert Westall.,"Westall, Robert","1447284607, 9781447284604",2015,"Macmillan Children's Books,",jcbk,ncfic,wts,1,A
3210903,Michelle Obama / Sarah Machajewski.,"Machajewski, Sarah","1508148120, 1508148317, 9781508148128, 9781508148319",2017,"PowerKids Press,",jcbk,ncb,net,1,A
3113634,Paulina & Fran : a novel / Rachel B. Glaser.,"Glaser, Rachel B., 1982-","0062377345, 9780062377340",2015,"Harper Perennial,",acbk,cafic,cen,2,A
2702109,The camp-out mystery / created by Gertrude Chandler Warner ; illustrated by Charles Tang.,"Warner, Gertrude Chandler, 1890-1979","0807510521, 9780807510520",1992,"Albert Whitman & Co.,",jcbk,ncef,rbe,1,A
3262050,A stranger in the house / Shari Lapena.,"Lapeña, Shari, 1960-","073522112X, 9780735221123",2017,"Pamela Dorman Books, Viking,",acbk,nafic,col,1,A
2322591,Charles Santore's Three hungry pigs and the wolf who came to dinner / [Charles Santore].,"Santore, Charles","0375829466, 0375929460",2005,"Random House,",jcbk,ccpic,cen,1,A
2517865,Teen titans. The complete fifth season / Warner Bros. Animation.,,"1419862421, 9781419862427",2008,"Warner Home Video,",jcdvd,ccdvd,cen,1,A
2573575,The song of the Cid : a dual-language edition with parallel text / translated by Burton Raffel ; introduction and notes by María Rosa Menocal.,,"0143105655, 9780143105657",2009,"Penguin Books,",acbk,nanf,swt,1,A
2316162,For God and country : faith and patriotism under fire / by James Yee with Aimee Molloy.,"Yee, James","1586483692, 9781586483692",2005,"Public Affairs,",acbk,canf,cen,1,A
748967,"History of the descendants of William Kennedy and his wife Mary or Marian Henderson, from 1730-1880, carried down by numbers. To which is added, the meaning of the name Kennedy, with some facts connected with their history in Scotland and Ireland.","Kennedy, Elias Davidson, 1819-1892",,1881,"Press of H.B. Ashmead,",arbk,cs9g,cen,1,A
3133130,Mary Anne saves the day : a graphic novel / by Raina Telgemeier with color by Braden Lamb.,"Telgemeier, Raina","0545886171, 054588621X, 9780545886178, 9780545886215",2015,"Scholastic,",jcbk,nccomic,glk,1,A
3229453,"When we were alone / David Alexander Robertson ; Julie Flett, illustrator.","Robertson, David, 1977-","155379673X, 9781553796732",2016,"HighWater Press,",jcbk,ncpic,net,1,A
2928045,DreamWeaver / George Duke.,"Duke, George",,2013,"Heads Up International,",accd,cacd,cen,1,A
3204968,"The neon demon / Broad Green Pictures ; Amazon Studios ; Gaumont ; Wild Bunch ; Bold Films ; Space Rocket ; producers, Lene Børglum, Sidonie Dumas, Vincent Maraval ; story, Nicolas Winding Refn ; screenplay, Nicolas Winding Refn, Mary Laws & Polly Stenham ; directed by Nicolas Winding Refn.",,,2016,"Broad Green Pictures,",acdvd,nadvd,wts,1,A
2795039,Freedom is blogging in your underwear / Hugh MacLeod.,"MacLeod, Hugh, 1965-","1591844851, 9781591844853",2012,"Portfolio,",acbk,nanf,dlr,1,A
2746807,The taste of tomorrow : dispatches from the future of food / Josh Schonwald.,"Schonwald, Josh","0061804215, 0061804223, 9780061804212, 9780061804229",2012,"Harper,",acbk,nanf,swt,1,A
3303151,Vũ Trọng Phụng : tiểu thuyết : (Giông tố ; Vỡ đê) / Vũ Trọng Phụng.,"Vũ, Trọng Phụng, 1912-1939,","6046991951, 9786046991953",2016,"Nhà xuất bản Văn Học,",acbk,caln,cen,1,A
3042880,Scandal in the secret city / Diane Fanning.,"Fanning, Diane","0727884042, 9780727884046",2014,"Severn House,",acbk,namys,spa,1,A
2991160,"Shakespeare in America : an anthology from the revolution to now / James Shapiro, editor ; foreword by President Bill Clinton.",,"1598532952, 9781598532951",2014,"The Library of America,",acbk,canf,cen,2,A
3176007,"The whole coconut cookbook : vibrant dairy-free, gluten-free recipes featuring nature's most versatile ingredient / Nathalie Fraise ; photography by Erin Scott.","Fraise, Nathalie","1607748053, 9781607748052",2016,"Ten Speed Press,",acbk,nanf,nhy,1,A
